,Area,BHK,Bathroom,Furnishing,Locality,Price
1088,600.0,3,2.0,Semi-Furnished,Other,8000000
1089,1600.0,3,4.0,Unfurnished,Sheikh Sarai Phase 1,18800000
1090,1100.0,3,2.0,Semi-Furnished,"Panchsheel Vihar, Sheikh Sarai",6000000
1091,450.0,1,1.0,Unfurnished,"Panchsheel Vihar, Sheikh Sarai",2200000
1092,855.0,3,2.0,Semi-Furnished,Other,6500000
1093,1291.668,3,2.0,Unfurnished,Sheikh Sarai Phase 1,23500000
1094,1300.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,16000000
1095,1350.0,3,3.0,Unfurnished,Sheikh Sarai Phase 1,20000000
1096,900.0,2,2.0,Unfurnished,Sheikh Sarai Phase 1,5500000
1097,850.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,13500000
1098,1650.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,22500000
1099,650.0,2,2.0,Unfurnished,"Panchsheel Vihar, Sheikh Sarai",3800000
1100,630.0,2,2.0,Semi-Furnished,Other,4600000
1101,1250.0,2,1.0,Semi-Furnished,Sheikh Sarai Phase 1,17500000
1102,1800.0,4,3.0,Furnished,"Panchsheel Vihar, Sheikh Sarai",5500000
1103,1500.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,22500000
1104,1100.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,12500000
1105,1400.0,3,2.0,Semi-Furnished,Sheikh Sarai Phase 1,19000000
1106,1300.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,15500000
1107,1100.0,2,2.0,Semi-Furnished,Sheikh Sarai Phase 1,13500000
1108,1600.0,3,3.0,Semi-Furnished,Sheikh Sarai Phase 1,21000000
1114,2572.0,3,3.0,Furnished,Punjabi Bagh West,35000000
1115,2100.0,3,3.0,Semi-Furnished,Other,25000000
1116,1620.0,3,3.0,Semi-Furnished,Other,29000000
1117,2500.0,4,4.0,Semi-Furnished,Punjabi Bagh West,80000000
1118,2250.0,3,3.0,Semi-Furnished,Punjabi Bagh West,20500000
1119,2445.0,4,4.0,Semi-Furnished,Other,52500000
1120,2250.0,4,4.0,Unfurnished,Other,37500000
1121,800.0,2,2.0,Semi-Furnished,Other,7500000
1122,1450.0,3,3.0,Semi-Furnished,Other,32500000
1123,1440.0,3,3.0,Unfurnished,Other,24500000
1124,5220.0,5,5.0,Unfurnished,Punjabi Bagh West,65000000
1125,1800.0,3,3.0,Semi-Furnished,Other,27500000
1126,4455.0,5,5.0,Semi-Furnished,Punjabi Bagh West,115000000
1128,807.2925,2,1.0,Semi-Furnished,Other,8000000
1129,3500.0,4,4.0,Furnished,Punjabi Bagh West,75100000
1130,1000.0,2,2.0,Semi-Furnished,Other,7800000
1131,900.0,2,2.0,Semi-Furnished,Other,15000000
1132,1800.0,3,3.0,Furnished,Other,27500000
1133,17010.0,3,3.0,Semi-Furnished,Punjabi Bagh West,25000000
1134,2340.0,4,4.0,Semi-Furnished,Other,26000000
1135,1350.0,3,3.0,Unfurnished,Other,23500000
1136,464.0,3,1.0,Unfurnished,Other,4200000
1137,954.0,2,2.0,Unfurnished,Other,10000000
1138,1155.0,2,2.0,Semi-Furnished,Other,18500000
1150,1600.0,3,3.0,Semi-Furnished,Other,20000000
1151,1400.0,3,3.0,Furnished,Other,18000000
1152,1400.0,3,2.0,Unfurnished,Alaknanda,19000000
1153,2700.0,4,4.0,Unfurnished,Other,36500000
1154,1100.0,2,2.0,Unfurnished,Alaknanda,15000000
1155,1200.0,2,2.0,Semi-Furnished,Alaknanda,17500000
1156,1400.0,2,2.0,Semi-Furnished,Alaknanda,14000000
1157,1500.0,3,3.0,Semi-Furnished,Other,21000000
1158,1320.0,3,2.0,Unfurnished,Alaknanda,15600000
1159,1300.0,3,3.0,Unfurnished,Other,19000000
1160,1150.0,2,2.0,Unfurnished,Other,16500000
1161,1440.0,3,3.0,Unfurnished,Alaknanda,19000000
1162,1400.0,2,2.0,Unfurnished,"Nilgiri Apartment, Alaknanda",16500000
1163,450.0,1,1.0,Semi-Furnished,Alaknanda,3000000
1164,1300.0,2,2.0,Semi-Furnished,Other,15000000
1165,1200.0,2,2.0,Unfurnished,"Nilgiri Apartment, Alaknanda",14300000
1166,1300.0,3,2.0,Unfurnished,"Nilgiri Apartment, Alaknanda",18500000
1167,1400.0,3,3.0,Furnished,Other,19000000
1168,1400.0,3,3.0,Semi-Furnished,Alaknanda,19000000
1186,800.0,2,2.0,Semi-Furnished,Other,8000000
1187,1150.0,2,3.0,Semi-Furnished,Other,16100000
1188,900.0,3,3.0,Semi-Furnished,Other,6800000
1189,1070.0,3,2.0,Furnished,Other,6800000
1190,1050.0,2,2.0,Unfurnished,Other,9000000
1191,1000.0,2,2.0,Semi-Furnished,Other,18000000
1192,1550.0,3,3.0,Unfurnished,Other,27500000
1193,1300.0,3,2.0,Unfurnished,Other,13500000
1194,810.0,2,2.0,Semi-Furnished,Other,14000000
1195,900.0,2,2.0,Furnished,Other,9000000
1196,1200.0,2,2.0,Unfurnished,Other,16000000
1197,1000.0,2,3.0,Semi-Furnished,Other,11000000
1198,720.0,2,2.0,Unfurnished,Other,5500000
1201,1800.0,3,3.0,Semi-Furnished,Hauz Khas,43500000
1202,6000.0,5,5.0,Semi-Furnished,Other,180000000
1203,1800.0,4,4.0,Semi-Furnished,Hauz Khas,80000000
1204,2000.0,3,3.0,Unfurnished,Other,37500000
1205,2066.0,4,4.0,Unfurnished,Hauz Khas,60000000
1206,2050.0,3,3.0,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",71000000
1207,1100.0,3,3.0,Unfurnished,Other,18500000
1208,4500.0,4,4.0,Semi-Furnished,Hauz Khas,70000000
1209,4500.0,4,5.0,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",85000000
1210,6500.0,4,5.0,Unfurnished,Other,190000000
1211,4350.0,4,6.0,Semi-Furnished,Other,135000000
1212,1750.0,3,3.0,Unfurnished,Hauz Khas,35000000
1213,3600.0,4,4.0,Semi-Furnished,Other,65000000
1214,1200.0,2,2.0,Furnished,"Hauz Khas Enclave, Hauz Khas",27500000
1215,1500.0,3,4.0,Unfurnished,Hauz Khas,45000000
1216,2250.0,4,4.0,Unfurnished,"Hauz Khas Enclave, Hauz Khas",100000000
1217,1800.0,3,4.0,Semi-Furnished,Hauz Khas,47000000
1218,1600.0,3,4.0,Semi-Furnished,Hauz Khas,27500000
1219,2800.0,4,5.0,Semi-Furnished,Hauz Khas,70000000
1220,1700.0,3,3.0,Semi-Furnished,Other,36500000
1221,2400.0,4,5.0,Unfurnished,"Hauz Khas Enclave, Hauz Khas",65000000
1222,1980.0,3,4.0,Unfurnished,Other,35000000
1223,2100.0,4,5.0,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",56000000
1224,5400.0,4,4.0,Unfurnished,"Hauz Khas Enclave, Hauz Khas",110000000
1225,1250.0,3,3.0,Semi-Furnished,Other,24000000
1226,2300.0,4,4.0,Semi-Furnished,Hauz Khas,102500000
1227,2700.0,4,4.0,Semi-Furnished,"Hauz Khas Enclave, Hauz Khas",100000000
1228,1450.0,3,3.0,Semi-Furnished,Other,45000000
1231,1600.0,3,3.0,Semi-Furnished,Chittaranjan Park,33500000
1232,2600.0,4,5.0,Semi-Furnished,Chittaranjan Park,62500000
1233,1700.0,3,3.0,Semi-Furnished,Chittaranjan Park,47500000
1234,1116.0,3,3.0,Semi-Furnished,Chittaranjan Park,14700000
1235,1070.0,2,3.0,Semi-Furnished,Chittaranjan Park,18000000
1236,1200.0,3,3.0,Semi-Furnished,Chittaranjan Park,22500000
1237,1200.0,3,3.0,Unfurnished,Chittaranjan Park,22000000
1238,1200.0,3,3.0,Semi-Furnished,Other,22200000
